House Index,Address,Price,County,Room,Approx price per room
"6. No 9, Carbry Coast, Tullaghan, Co, Tullaghan, Co. Leitrim - Apa","No 9, Carbry Coast, Tullaghan, Co, Tullaghan, Co. Leitrim",450, Co. Leitrim,2,225.00
"7. Quay Road, Carrick-on-Shannon, Co. Leitrim - Apa","Quay Road, Carrick-on-Shannon, Co. Leitrim",550, Co. Leitrim,2,275.00
"8. Key Street, Carrick-on-Shannon, Co. Leitrim - Apa","Key Street, Carrick-on-Shannon, Co. Leitrim",475, Co. Leitrim,1,475.00
"9. The Waterfront, Leitrim, Co. Leitrim - Apa","The Waterfront, Leitrim, Co. Leitrim",700, Co. Leitrim,3,233.33
"10. 4 Library Corner, Manorhamilton, Co. Leitrim - Apar","4 Library Corner, Manorhamilton, Co. Leitrim",500, Co. Leitrim,2,250.00
"11. Ayrefield Manor, Carrick-on-Shannon, Co. Leitrim - Apar","Ayrefield Manor, Carrick-on-Shannon, Co. Leitrim",550, Co. Leitrim,2,275.00
"12. Priest Lane, Carrick-on-Shannon, Co. Leitrim - Apar","Priest Lane, Carrick-on-Shannon, Co. Leitrim",600, Co. Leitrim,2,300.00
"1. Newtown Mews, Annacotty, Co. Limerick - Apa","Newtown Mews, Annacotty, Co. Limerick",1400, Co. Limerick,3,466.67
"2. Kildimo, Kildimo, Co. Limerick - Apa","Kildimo, Kildimo, Co. Limerick",1150, Co. Limerick,2,575.00
"3. Apartment 1, Block A, Ballycummin Village, Raheen, Co. Limerick - Apa","Apartment 1, Block A, Ballycummin Village, Raheen, Co. Limerick",1100, Co. Limerick,2,550.00
"4. Banantyne place, Steamboat quay, Dock road, Limerick City, Co. Limerick - Apa","Banantyne place, Steamboat quay, Dock road, Limerick City, Co. Limerick",1400, Co. Limerick,3,466.67
"5. Drominbeg, Rhebogue, Co. Limerick - Apa","Drominbeg, Rhebogue, Co. Limerick",1300, Co. Limerick,3,433.33
"6. Riverpoint, Limerick City, Co. Limerick - Apa","Riverpoint, Limerick City, Co. Limerick",1200, Co. Limerick,2,600.00
"7. Harveys Quay, Limerick City, Co. Limerick - Apa","Harveys Quay, Limerick City, Co. Limerick",1300, Co. Limerick,2,650.00
"8. Penthouse Apartment, Charlotte Quay, Limerick, Limerick City, Co. Limerick - Apa","Penthouse Apartment, Charlotte Quay, Limerick, Limerick City, Co. Limerick",1200, Co. Limerick,2,600.00
"9. Newcastle Court, Castletroy, Co. Limerick - Apa","Newcastle Court, Castletroy, Co. Limerick",1200, Co. Limerick,2,600.00
"10. The Strand, O'Callaghan Strand, Limerick City, Co. Limerick - Apar","The Strand, O'Callaghan Strand, Limerick City, Co. Limerick",1250, Co. Limerick,1,1250.00
"11. Riverpoint, Bishops Quay, Limerick City, Co. Limerick - Apar","Riverpoint, Bishops Quay, Limerick City, Co. Limerick",1400, Co. Limerick,2,700.00
"12. Main Street, Adare, Co. Limerick - Apar","Main Street, Adare, Co. Limerick",1250, Co. Limerick,2,625.00
"13. The Strand, O'Callaghans Strand, Limerick City, Co. Limerick - Apar","The Strand, O'Callaghans Strand, Limerick City, Co. Limerick",1575, Co. Limerick,3,525.00
"14. The Strand, O' Callaghan Strand, Limerick City, Co. Limerick - Apar","The Strand, O' Callaghan Strand, Limerick City, Co. Limerick",1500, Co. Limerick,2,750.00
"15. Main Street, Adare, Co. Limerick - Apar","Main Street, Adare, Co. Limerick",1100, Co. Limerick,2,550.00
"16. An Dun, Church road, Raheen, Co. Limerick - Apar","An Dun, Church road, Raheen, Co. Limerick",1100, Co. Limerick,2,550.00
"17. Bridgewater Court, Limerick City, Co. Limerick - Apar","Bridgewater Court, Limerick City, Co. Limerick",1200, Co. Limerick,2,600.00
"18. Coolbane, Castleconnell, Co. Limerick - Apar","Coolbane, Castleconnell, Co. Limerick",950, Co. Limerick,3,316.67
"19. Oakdale Court, Ennis Road, Co. Limerick - Apar","Oakdale Court, Ennis Road, Co. Limerick",850, Co. Limerick,1,850.00
"20. Palmerstown Court, Limerick City, Co. Limerick - Apar","Palmerstown Court, Limerick City, Co. Limerick",1200, Co. Limerick,3,400.00
"1. Main Street, Granard, Co. Longford - Apa","Main Street, Granard, Co. Longford",400, Co. Longford,1,400.00
"2. Sandy Lane, Richmond Street Longford, Longford Town, Co. Longford - Apa","Sandy Lane, Richmond Street Longford, Longford Town, Co. Longford",575, Co. Longford,1,575.00
"3. Sli Na Mona, Ballymahon, Co. Longford - Apa","Sli Na Mona, Ballymahon, Co. Longford",520, Co. Longford,1,520.00
"4. Cornmill House, Great Water Street, Longford Town, Co. Longford - Apa","Cornmill House, Great Water Street, Longford Town, Co. Longford",450, Co. Longford,1,450.00
"5. The Granary, Ballymahon, Co. Longford - Apa","The Granary, Ballymahon, Co. Longford",650, Co. Longford,2,325.00
