House,Price,County,Room,Approx price per room
" Slievenamon Mews, Davis Road, Clonmel, Co. Tipperary",900, Co. Tipperary,2,450.00
" Riverside Shopping Centre, Borrisokane, Co. Tipperary",850, Co. Tipperary,3,283.33
" Riverside Shopping Centre, Borrisokane, Co. Tipperary",700, Co. Tipperary,2,350.00
" Quarry Mews Mitchel Street, Thurles, Co. Tipperary",500, Co. Tipperary,1,500.00
" 1A Silver Street, Slver Mews, Nenagh, Co. Tipperary",600, Co. Tipperary,2,300.00
" half mile from templemore, Templemore, Co. Tipperary",600, Co. Tipperary,1,600.00
" Dominics Court, Cashel, Co. Tipperary",750, Co. Tipperary,2,375.00
" Carrig Rua, Gortandroe, Nenagh, Co. Tipperary",700, Co. Tipperary,2,350.00
" Glencove, Dunmore Road, Waterford., Waterford City, Co. Waterford",1200, Co. Waterford,2,600.00
" Castle Place Railway Square, Waterford City, Co. Waterford",900, Co. Waterford,2,450.00
" Watersgate, Billberry, Waterford, Waterford City, Co. Waterford",1100, Co. Waterford,2,550.00
" Adelphi Quay, Waterford, Waterford City, Co. Waterford",975, Co. Waterford,2,487.50
" Railway Square, Castle Place, Waterford City, Co. Waterford",1100, Co. Waterford,3,366.67
" Ardkeen Woods, Dunmore Road, Waterford City, Co. Waterford",1150, Co. Waterford,3,383.33
" De Bruin Court, Waterford City, Co. Waterford",365, Co. Waterford,1,365.00
" Glencove, Dunmore Road, Waterford City, Co. Waterford",1200, Co. Waterford,2,600.00
" O'Connell Court, Penrose Lane, Waterford City, Co. Waterford",700, Co. Waterford,1,700.00
" Apt. Maypark Mews, Maypark, Waterford City, Co. Waterford",950, Co. Waterford,2,475.00
