House,Price,County
"112. grand canal dock, Dublin 2",3560, Dublin 2
"113. Bowbridge Place, Kilmainham, Dublin 8",2600, Dublin 8
"114. St James Court, Mount Brown, St James Street, Kilmainham, Dublin 8",1400, Dublin 8
"115. Jervis Place Apartments, Dublin 1",2400, Dublin 1
"116. Effra Road, Ranelagh, Dublin 6",3000, Dublin 6
"117. Charlotte Apartments, Dun Laoghaire, Co. Dublin",2700, Co. Dublin
"118. Barrow Street, Ballsbridge, Dublin 4",2200, Dublin 4
"119. Apartment 1, 1 Smithfield Terrace, Smithfield Squa, Smithfield, Dublin 7",2500, Dublin 7
"120. Olcovar, Shankill, Dublin 18",1500, Dublin 18
"121. Palmerston Road, Rathmines, Dublin 6",1000, Dublin 6
"122. Hanover Quarter, Hanover Quay, off Asgard Road, Grand Canal Dock, Dublin 2",3500, Dublin 2
"123. Ha'Penny Bridge House, Lower Ormond Quay, Dublin 1",1200, Dublin 1
"124. New Priory. Hole In The Wall rd, Donaghmede, Dublin 13",1664, Dublin 13
"125. Lymewood Mews, northwood, Santry, Dublin 9",2200, Dublin 9
"126. Orwell Hall, Marianella, Rathgar, Dublin 6",2295, Dublin 6
"127. Wyckham point, Ballinteer, Dublin 16",2000, Dublin 16
"128. Bushy Park House, Templeogue Road, Terenure, Dublin 6",2550, Dublin 6
"129. The Crescent, Park West, Dublin 12",1208, Dublin 12
"130. Castle Lawns, Kilgobbin Wood, Sandyford, Dublin 18",2200, Dublin 18
"131. The Northumberlands, Love Lane, Lower Mount Street, Dublin 2",2200, Dublin 2
"132. Pembroke Road, Ballsbridge, Dublin 4",2500, Dublin 4
"133. Pembroke Road, Dublin 2",2500, Dublin 2
"134. Pearse Street 107, Hanover Quay, Dublin 2",2000, Dublin 2
"135. (3) Carrington Park, Northwood, Santry, Dublin 9",1960, Dublin 9
"136. 20 Woodbrook Hall, Castleknock, Dublin 15",1700, Dublin 15
"137. Avoca Hall, Blackrock, Co. Dublin",1900, Co. Dublin
"138. Smithfield Towers, Smithfield Market, Smithfield, Dublin 7",3900, Dublin 7
"139. Glaslynn, 97 Howth Road, Clontarf, Dublin 3, Clontarf, Dublin 3",1756, Dublin 3
"140. The Waterside, Charlotte Quay, Ringsend, Dublin 4",2180, Dublin 4
"141. Eyre Court, Ballyemunduff, Stepaside, Dublin 18",1500, Dublin 18
"142. Radcliff, Sutton, Dublin 13",1700, Dublin 13
"143. Ashwood house, mount street, Dublin 2, Grand Canal Dock, Dublin 2",2600, Dublin 2
"144. Mobhi Court, Glasnevin, Dublin 9",2200, Dublin 9
"145. Whitehall Square, Perrystown, Crumlin, Dublin 12",1618, Dublin 12
"146. Rialto Cottages, Dublin 8",1350, Dublin 8
"147. Palmerston Road, Rathmines, Dublin 6",1248, Dublin 6
"148. Leinster Road, Rathmines, Dublin 6",1100, Dublin 6
"149. Sherrard Street Lower, Dublin 1",1500, Dublin 1
"150. Garville Avenue, Rathgar, Dublin 6",2000, Dublin 6
"151. Merrion Court, Sydney Parade Avenue, Ballsbridge, Sandymount, Dublin 4",2288, Dublin 4
"152. Ranelagh Village, Ranelagh, Dublin 6",3250, Dublin 6
"153. Rathmines Town Centre, Rathmines, Dublin 6",1520, Dublin 6
"154. Brighton Rd, Rathgar, Dublin 6",1510, Dublin 6
"155. The Willow, Rockfield, Dundrum, Dublin 14",1700, Dublin 14
"156. Ballymount Square, Walkinstown, Dublin 12",1350, Dublin 12
"157. The Ramparts, Victoria Road, Rathgar, Dublin 6",1800, Dublin 6
"158. Smithfield market, Smithfield, Dublin 7",2450, Dublin 7
"159. Hanover Riverside, Grand Canal Dock, Dublin 2",2460, Dublin 2
"160. Millrace Road, Castleknock, Dublin 15",1720, Dublin 15
"161. Pavilion View, 127-131 Lower Rathmines road, Rathmines, Dublin 6",2800, Dublin 6
"162. Block 9 , Allendale Square, Clonsilla, Dublin 15",1519, Dublin 15
"163. 4 Cruagh Rise, Stepaside, Dublin 18",1600, Dublin 18
"164. Merrion court ,Ailesbury Road Ballsbridge, Ballsbridge, Dublin 4",2350, Dublin 4
"165. Pavillion, Dun Laoghaire, Co. Dublin",4200, Co. Dublin
"166. 214 The Distillery, Distillery Road, Fairview, Dublin 3",1950, Dublin 3
"167. 208 The links, Elm Park, Merrion, Dublin 4",2300, Dublin 4
"168. Castleheath, Malahide, Co. Dublin",1650, Co. Dublin
"169. Old County Road, Crumlin, Dublin 12",1180, Dublin 12
"170. Dunstaffnage, Stillorgan, Co. Dublin",1664, Co. Dublin
"171. Gracepark Manor, Drumcondra, Dublin 9",1800, Dublin 9
"172. 72A Navan Road, Navan Road (D7), Dublin 7",1250, Dublin 7
"173. 104 Naas Road, Bluebell, Dublin 12",1350, Dublin 12
"174. Bertram Court, Lamb alley, Christchurch, Dublin 8",1450, Dublin 8
"175. Brooklands, Nutley Lane, Ballsbridge, Dublin 4",1945, Dublin 4
"176. Prussia Street, Stoneybatter, Dublin 7",1500, Dublin 7
"177. 31 Ashurst, Mount Merrion Avenue, Blackrock, Co. Dublin",2028, Co. Dublin
"178. The Tramyard, Inchicore, Dublin 8",1493, Dublin 8
"179. 156 Sandyford View, Blackglen Road, Sandyford Dubl, Sandyford, Dublin 18",1700, Dublin 18
"180. Goatstown Road, Clonskeagh, Dublin 14",3600, Dublin 14
"181. Woodhazel Terrace, Santry, Dublin 9",1508, Dublin 9
"182. Smithfield Village, Bow Street, Smithfield, Dublin 7",1500, Dublin 7
"183. 8 Dunlin House House, Red Court Oaks, Seafield Roa, Clontarf, Dublin 3",1850, Dublin 3
"184. Serviced Apartments in Malahide, Malahide, Co. Dublin",3360, Co. Dublin
"185. Apt 178 Bracken Hill, Simon\'s Ridge, Sandyford, Dublin 18",1385, Dublin 18
"186. (1) Elmfield, Ballyogan Road, Leopardstown, Dublin 18",1742, Dublin 18
"187. (3) Elmfield, Ballyogan Road, Leopardstown, Dublin 18",2375, Dublin 18
"188. Highfield Road, Rathgar, Rathgar, Dublin 6",2000, Dublin 6
"189. Knocknagow, greenville road, Blackrock, Co. Dublin",1800, Co. Dublin
"190. The Hibernian, The Gasworks, Ringsend, Dublin 4",3300, Dublin 4
"191. 86 Grand Canal Square, Grand Canal, Dublin 2",3045, Dublin 2
