House,Price,County,Room
"17. 19 Orchard Grove, Ramelton Rd, Letterkenny, Co. Donegal",900, Co. Donegal,5 
"18. 32 Greenfields, Convoy, Co. Donegal",650, Co. Donegal,4 
"19. Cottage Rahan, Letterkenny, Co. Donegal",480, Co. Donegal,
"20. 113 Thornberry, Letterkenny, Co. Donegal",750, Co. Donegal,4 
"21. Cherry Avenue, Carndonagh, Co. Donegal",600, Co. Donegal,3
"22. Cratlagh Wood, Milford, Co. Donegal",750, Co. Donegal,4 
"23. 42 Harmony Hill, Kiltoy, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"24. 15A Glendale Manor, Glencar, Letterkenny, Co. Donegal",600, Co. Donegal,2
"25. 35 Ash Meadows, Stranorlar, Co. Donegal",560, Co. Donegal,3 
"26. 66 the grange letterkenny, Letterkenny, Co. Donegal",800, Co. Donegal,4 
"27. Rathmullan Cottage, Rathmullan, Co. Donegal",600, Co. Donegal,3 
"28. Lough Eske, Donegal Town, Co. Donegal",550, Co. Donegal,3
"29. 49 Cathedral Hill, Raphoe, Co. Donegal",600, Co. Donegal,3 
"30. 43 Forest Park, Killygordon, Co. Donegal",435, Co. Donegal,2 
"31. No 2 The Mill Cottage, Stranorlar, Co. Donegal",560, Co. Donegal,3 
"32. 36 Cuirt Aishling, Ballybofey, Co. Donegal",650, Co. Donegal,3 
"33. No 24 Cuirt Aishling, Ballybofey, Co. Donegal",694, Co. Donegal,5 
"34. 40 Ashfield, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"35. Lisnenan Court, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"36. Whitethorn Close, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"37. 72 The Garden,Ballymacool, Letterkenny, Co. Donegal",650, Co. Donegal,3 
"38. 12 Dungarron, Gortlee, Letterkenny, Co. Donegal",800, Co. Donegal,4 
"39. 42 The Elms, Glencar, Letterkenny, Co. Donegal",850, Co. Donegal,4 
"40. Ceanann View, Carnamuggagh Upper, Letterkenny, Co. Donegal",650, Co. Donegal,3
"41. Durgan House, Ramelton, Co. Donegal",1995, Co. Donegal,5 
"42. Coolmore, Rossnowlagh, Co. Donegal",430, Co. Donegal,6
"43. Ballinmore, Fintown, Co. Donegal",400, Co. Donegal,4 
"44. 36 Stoneybridge, Bridgend, Co. Donegal",650, Co. Donegal,3 
"45. An Gleann Rua, Letterkenny, Co. Donegal",700, Co. Donegal,4 
"46. The Green, Thornberry, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"47. Beinn Aoibhinn, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"48. Dooish View, Magheracloy, St. Johnston, Co. Donegal",600, Co. Donegal,3
"49. Hazelbrook Crescent, Letterkenny, Co. Donegal",650, Co. Donegal,3 
"50. Orchard Grove, Newtown Cunningham, Co. Donegal",700, Co. Donegal,3 
"51. Hollywell, Killea, Co. Donegal",560, Co. Donegal,2
"52. Lanalea House, Oldtown Road, Letterkenny, Co. Donegal",650, Co. Donegal,4 
"53. Lisnennan Court, Letterkenny, Co. Donegal",750, Co. Donegal,4 
"54. Loughanure, Loughanure, Co. Donegal",640, Co. Donegal,4 
"55. No 7 Laganore, Port Na Blagh, Dunfanaghy, Co. Donegal",550, Co. Donegal,3 
"56. Drumatinney, Falcarragh, Co. Donegal",550, Co. Donegal,6 
"57. Barnes, Termon, Co. Donegal",500, Co. Donegal,3 
"58. Magheraroarty, Gortahork, Co. Donegal",500, Co. Donegal,3
"59. Balliness, Falcarragh, Co. Donegal",450, Co. Donegal,3
"60. Ards, Creeslough, Co. Donegal",500, Co. Donegal,3
"61. 39 Parkview Drive, Letterkenny, Co. Donegal",650, Co. Donegal,3
"62. 7 Ceannan View, Letterkenny, Co. Donegal",640, Co. Donegal,3 
"63. Lunniagh, Derrybeg, Co. Donegal",1050, Co. Donegal,4 
"64. 21 Hillview, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"65. The Garden, Ballymacool Wood, Letterkenny, Co. Donegal",750, Co. Donegal,4 
"66. The Maples, Letterkenny, Co. Donegal",850, Co. Donegal,4 
"67. 49 Rowan Park, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"68. Glen road Glenties, Glenties, Co. Donegal",440, Co. Donegal,4 
"69. 10 Farmleigh Park, Ardeskin, Donegal Town, Co. Donegal",750, Co. Donegal,3 
"70. The Commons, Killybegs, Co. Donegal",575, Co. Donegal,4
"71. 10 Keenaghan, Kilcar, Co. Donegal",500, Co. Donegal,3
"72. Alt Crescent, Castlefin, Co. Donegal",850, Co. Donegal,4 
"73. The Cottage, Shanvalley, Castlefin, Co. Donegal",550, Co. Donegal,2
"74. Drimnaherk East, Letterbarra, Co. Donegal",580, Co. Donegal,2
"75. 6 Elm park, Buncrana, Co. Donegal",700, Co. Donegal,5 
"76. Solomons Manor, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"77. derrynacarrow, Doochary, Co. Donegal",600, Co. Donegal,3 
"78. Chestnut Grove, Letterkenny, Co. Donegal",900, Co. Donegal,5 
"79. Caravan Road, Dungloe, Co. Donegal",600, Co. Donegal,4 
"80. meenahalla, Glenties, Co. Donegal",475, Co. Donegal,4
"81. Gortlee, Letterkenny, Co. Donegal",700, Co. Donegal,3
"1. Woodside Drive, Rathfarnham, Dublin 14",4750, Dublin 14,6 
"2. Seafield Downs, Clontarf, Dublin 3",2500, Dublin 3,2 
"3. 13a Suir Road, Kilmainham, Dublin 8",2600, Dublin 8,3 
"4. Old Estuary Mill, Malahide, Co. Dublin",3600, Co. Dublin,4 
"5. Granville Park off Newtownpark Avenue Blackrock Co, Blackrock, Co. Dublin",2800, Co. Dublin,4
"6. 8 The Avenue, Marianella, Rathgar, Dublin 6",5500, Dublin 6,5 
"7. Outfarm Lane, Castleknock, Dublin 15",3700, Dublin 15,5 
