House Index,Address,Price,County,Room,Approx price per room
150,"Highfield Avenue, Cork City, Co. Cork",600, Co. Cork,6 ,100.00
151,"Cliona Lodge, Toe Head, Castletownshend, Co. Cork",1250, Co. Cork,4 ,312.50
152,"Drishanemore (available Sept - May), Skibbereen, Co. Cork",900, Co. Cork,4 ,225.00
153,"1 Clerk Lane, Skibbereen, Co. Cork",500, Co. Cork,1,500.00
154,"Coolbawn, Caheragh, Drimoleague, Co. Cork",850, Co. Cork,3 ,283.33
155,"6 Glandore Mews, Glandore, Co. Cork",850, Co. Cork,3 ,283.33
156,"6 Chapel Lane, Skibbereen, Co. Cork",650, Co. Cork,3,216.67
157,"Cooscroneen, Union Hall, Co. Cork",950, Co. Cork,3 ,316.67
158,"Gurteenakilla, Ballydehob, Co. Cork",850, Co. Cork,3 ,283.33
159,"Rockmount, Drimoleague, Co. Cork",800, Co. Cork,4 ,200.00
160,"Look out Main Street, Castletownshend, Co. Cork",800, Co. Cork,3 ,266.67
161,"Reenmurraga, Church Cross, Skibbereen, Co. Cork",800, Co. Cork,3,266.67
162,"Glentaff, Union Hall, Co. Cork",600, Co. Cork,3,200.00
163,"Minanes, Drinagh, Co. Cork",1300, Co. Cork,5 ,260.00
164,"Rosscarrig Rathmore, Baltimore, Co. Cork",1300, Co. Cork,4 ,325.00
165,"Main Street, Drimoleague, Co. Cork",850, Co. Cork,4 ,212.50
166,"Gloun, Dunmanway, Co. Cork",800, Co. Cork,3,266.67
167,"Kevmond Old mallow road Cork, Blackpool, Co. Cork",1450, Co. Cork,3,483.33
168,"Snave Ballylickey Bantry, Bantry, Co. Cork",750, Co. Cork,3,250.00
169,"Lackaroe, Buttevant, Co. Cork",850, Co. Cork,2,425.00
170,"8 Ringcurren Grove, Ardbrack, Kinsale, Co. Cork",1500, Co. Cork,3 ,500.00
171,"Cois An Uisce, Forthill, Summercove, Kinsale, Co. Cork",3000, Co. Cork,4 ,750.00
172,"Cappagh, Kinsale, Co. Cork",1200, Co. Cork,1,1200.00
173,"Glanagual, Kildinan, Co. Cork",1500, Co. Cork,4 ,375.00
174,"Railway Cottage, Gaggin, Bandon, Co. Cork",2000, Co. Cork,5 ,400.00
175,"2 Bowling Green, St John's Hill, Kinsale, Co. Cork",3000, Co. Cork,5 ,600.00
176,"The Anchorage, Summercove, Kinsale, Co. Cork",3000, Co. Cork,3 ,1000.00
177,"51 Clonlea, Mount Oval Village, Rochestown, Co. Cork",1400, Co. Cork,2,700.00
178,"Derrylahan, Dunmanway, Co. Cork",700, Co. Cork,3 ,233.33
179,"64 Yewlands, Douglas, Co. Cork",1625, Co. Cork,3 ,541.67
180,"5 The Forge, Breenybeg, Kealkill, Co. Cork",750, Co. Cork,3,250.00
181,"21 Meadowside, Dromina, Co. Cork",800, Co. Cork,4 ,200.00
182,"21 Meadowside, Dromina, Charleville, Co. Cork",800, Co. Cork,4 ,200.00
183,"Ballygrace, Churchtown, Co. Cork",600, Co. Cork,1,600.00
184,"No. 4 Orchard View, Hillview, Banteer, Co. Cork",900, Co. Cork,3,300.00
185,"Clonleigh, Newtownshandrum, Charleville, Co. Cork",800, Co. Cork,3 ,266.67
186,"West of Ballinspittle, Ballinspittle, Co. Cork",2000, Co. Cork,4 ,500.00
187,"16 The Orchard, Skibbereen, Co. Cork",875, Co. Cork,3,291.67
188,"Coolavokig, Macroom, Co. Cork",800, Co. Cork,3,266.67
189,"No. 2 Harbour View Holiday Village, Glengarriff, Co. Cork",700, Co. Cork,4,175.00
190,"The Sycamores, Model Farm Road, Co. Cork",2150, Co. Cork,5 ,430.00
191,"8 Castle Street, Macroom, Co. Cork",900, Co. Cork,5,180.00
192,"Cahermellaboe, Allihies, Beara, Co. Cork",500, Co. Cork,3 ,166.67
1,"Lough Eske, Donegal Town, Co. Donegal",550, Co. Donegal,3,183.33
2,"12 College Park Letterkenny, Letterkenny, Co. Donegal",800, Co. Donegal,6 ,133.33
3,"65 The Green, Ballymacool, Letterkenny, Co. Donegal",700, Co. Donegal,3 ,233.33
4,"56 Glentain Manor, Letterkenny, Co. Donegal",750, Co. Donegal,3 ,250.00
5,"81 Cara Bay, Culdaff, Co. Donegal",560, Co. Donegal,2 ,280.00
6,"30 Clearwaters, Rathmullan, Co. Donegal",600, Co. Donegal,3 ,200.00
7,"89 The Green, Thornberry, Letterkenny, Co. Donegal",850, Co. Donegal,3 ,283.33
8,"Fort Royal House, Rathmullan, Co. Donegal",1400, Co. Donegal,4 ,350.00
9,"Porthall, Lifford, Co. Donegal",550, Co. Donegal,2,275.00
10,"14 St Johns Park, Gransha Road, Buncrana, Co. Donegal",750, Co. Donegal,4 ,187.50
11,"42 Millbrea, Meadows, Ballyloskey, Carndonagh, Co. Donegal",600, Co. Donegal,3 ,200.00
12,"21 Churchlands, Manorcunningham, Co. Donegal",650, Co. Donegal,4 ,162.50
13,"39 Glenoughty Close, Glencar, Letterkenny, Co. Donegal",750, Co. Donegal,3,250.00
14,"1 Killylastin Heights, Letterkenny, Co. Donegal",700, Co. Donegal,3 ,233.33
15,"21 Brookfield Heights, Letterkenny, Co. Donegal",800, Co. Donegal,3,266.67
16,"23 Ceanann View, Letterkenny, Co. Donegal",750, Co. Donegal,3 ,250.00
17,"39 Cill Greine, Lismonaghan, Letterkenny, Co. Donegal",900, Co. Donegal,4 ,225.00
18,"110 Ard O Donnell, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
19,"Drumacanoo, Churchill, Letterkenny, Co. Donegal",600, Co. Donegal,3,200.00
20,"9 The Grange, Letterkenny, Co. Donegal",950, Co. Donegal,4 ,237.50
21,"19 Orchard Grove, Ramelton Rd, Letterkenny, Co. Donegal",900, Co. Donegal,5 ,180.00
22,"Cottage Rahan, Letterkenny, Co. Donegal",480, Co. Donegal,1,480.00
23,"Carnamuggagh, Mountain Top, Letterkenny, Co. Donegal",700, Co. Donegal,4 ,175.00
24,"9 Fairgreen Park, Letterkenny, Co. Donegal",650, Co. Donegal,4 ,162.50
25,"32 Greenfields, Convoy, Co. Donegal",650, Co. Donegal,4 ,162.50
26,"73 Rowan Park, Lismonaghan, Letterkenny, Co. Donegal",850, Co. Donegal,4 ,212.50
27,"38 The Rectory, Fahan, Co. Donegal",780, Co. Donegal,3 ,260.00
28,"Golf Course Road, Loughnagin, Letterkenny, Co. Donegal",800, Co. Donegal,3,266.67
29,"43 Forest Park, Killygordon, Co. Donegal",435, Co. Donegal,2 ,217.50
30,"No 2 The Mill Cottage, Stranorlar, Co. Donegal",560, Co. Donegal,3 ,186.67
31,"36 Cuirt Aishling, Ballybofey, Co. Donegal",650, Co. Donegal,3 ,216.67
32,"No 14 Glenview Park, Ballybofey, Co. Donegal",565, Co. Donegal,4,141.25
33,"No 3 Williams Street, Raphoe, Co. Donegal",500, Co. Donegal,3,166.67
34,"Ten Foot Road, Drung, Quigley's Point, Co. Donegal",1000, Co. Donegal,4 ,250.00
35,"14 Gerards Way, Carndonagh, Co. Donegal",440, Co. Donegal,3,146.67
36,"Thornberry, Letterkenny, Co. Donegal",800, Co. Donegal,4 ,200.00
37,"28 Lennon View, Kilmacrenan, Co. Donegal",650, Co. Donegal,3 ,216.67
