House Index,Address,Price,County,Room,Approx price per room
17. ,"39 Cill Greine, Lismonaghan, Letterkenny, Co. Donegal",900, Co. Donegal,4 ,225.00
18. ,"110 Ard O Donnell, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
19. ,"Drumacanoo, Churchill, Letterkenny, Co. Donegal",600, Co. Donegal,3,200.00
20. ,"9 The Grange, Letterkenny, Co. Donegal",950, Co. Donegal,4 ,237.50
21. ,"19 Orchard Grove, Ramelton Rd, Letterkenny, Co. Donegal",900, Co. Donegal,5 ,180.00
22. ,"Cottage Rahan, Letterkenny, Co. Donegal",480, Co. Donegal,1,480.00
23. ,"Carnamuggagh, Mountain Top, Letterkenny, Co. Donegal",700, Co. Donegal,4 ,175.00
24. ,"9 Fairgreen Park, Letterkenny, Co. Donegal",650, Co. Donegal,4 ,162.50
25. ,"32 Greenfields, Convoy, Co. Donegal",650, Co. Donegal,4 ,162.50
26. ,"73 Rowan Park, Lismonaghan, Letterkenny, Co. Donegal",850, Co. Donegal,4 ,212.50
27. ,"38 The Rectory, Fahan, Co. Donegal",780, Co. Donegal,3 ,260.00
28. ,"Golf Course Road, Loughnagin, Letterkenny, Co. Donegal",800, Co. Donegal,3,266.67
29. ,"43 Forest Park, Killygordon, Co. Donegal",435, Co. Donegal,2 ,217.50
30. ,"No 2 The Mill Cottage, Stranorlar, Co. Donegal",560, Co. Donegal,3 ,186.67
31. ,"36 Cuirt Aishling, Ballybofey, Co. Donegal",650, Co. Donegal,3 ,216.67
32. ,"No 14 Glenview Park, Ballybofey, Co. Donegal",565, Co. Donegal,4,141.25
33. ,"No 3 Williams Street, Raphoe, Co. Donegal",500, Co. Donegal,3,166.67
34. ,"Ten Foot Road, Drung, Quigley's Point, Co. Donegal",1000, Co. Donegal,4 ,250.00
35. ,"14 Gerards Way, Carndonagh, Co. Donegal",440, Co. Donegal,3,146.67
36. ,"Thornberry, Letterkenny, Co. Donegal",800, Co. Donegal,4 ,200.00
37. ,"28 Lennon View, Kilmacrenan, Co. Donegal",650, Co. Donegal,3 ,216.67
38. ,"Lisnenan Court, Letterkenny, Co. Donegal",900, Co. Donegal,4 ,225.00
39. ,"Coolvoy, Doochary, Co. Donegal",500, Co. Donegal,3,166.67
40. ,"10 Woodlands, Ballyshannon, Co. Donegal",500, Co. Donegal,2,250.00
1. ,"54 Raglan Lane, Ballsbridge, Dublin 4",6500, Dublin 4,3 ,2166.67
2. ,"Belarmine Park, Stepaside, Dublin 18",3800, Dublin 18,4 ,950.00
3. ,"8 The Avenue, Marianella, Rathgar, Dublin 6",5500, Dublin 6,5 ,1100.00
4. ,"3 Mariners Lane, Dun Laoghaire, Co. Dublin",2600, Co. Dublin,3 ,866.67
5. ,"Woodside Drive, Rathfarnham, Dublin 14",4750, Dublin 14,6 ,791.67
6. ,"Geraldine Street, Dublin 7",2700, Dublin 7,3,900.00
7. ,"Clogher Road, Crumlin, Dublin 12",1900, Dublin 12,2,950.00
8. ,"Seafield Downs, Clontarf, Dublin 3",2500, Dublin 3,2 ,1250.00
9. ,"99 Inchicore Rd., Kilmainham, Dublin 8",2600, Dublin 8,3,866.67
10. ,"Old Estuary Mill, Malahide, Co. Dublin",3600, Co. Dublin,4 ,900.00
11. ,"13 Milltown Avenue, Mount St Annes, Milltown, Dublin 6",2750, Dublin 6,3 ,916.67
12. ,"20 Millbrook Village, Milltown, Dublin 6",2200, Dublin 6,2,1100.00
13. ,"Victoria Road, Clontarf, Dublin 3",2200, Dublin 3,2,1100.00
14. ,"Brookvale Downs, Rathfarnham, Dublin 14",2250, Dublin 14,3 ,750.00
15. ,"Heathfield Monkstown Road, Monkstown, Co. Dublin",2150, Co. Dublin,2,1075.00
16. ,"Dunbar, Off Eglington Road, Donnybrook, Donnybrook, Dublin 4",2980, Dublin 4,3 ,993.33
