House,Price,County,Room
"115. 2 Bowling Green, St John\'s Hill, Kinsale, Co. Cork",3000, Co. Cork,5 
"116. The Anchorage, Summercove, Kinsale, Co. Cork",3000, Co. Cork,3 
"117. 2 Chapel Gates, Kinsale, Co. Cork",1500, Co. Cork,3 
"118. 50 Springmount, Kinsale, Co. Cork",1400, Co. Cork,3 
"119. College View, Ballyvourney, Macroom, Co. Cork",750, Co. Cork,2
"120. Curraclough, Lissarda, Co. Cork",900, Co. Cork,4
"121. 35 Courtyard Lodges, Fota, Co. Cork",1500, Co. Cork,2 
"122. Butlerstown, Courtmacsherry, Co. Cork",900, Co. Cork,4 
"123. 64 Yewlands, Douglas, Co. Cork",1625, Co. Cork,3 
"124. Cloon Cottage, Carrigdownane, Fermoy, Co. Cork",1095, Co. Cork,4 
"125. 30 Bat Donegan Place, Charleville, Co. Cork",800, Co. Cork,2
"126. 6 Oysterhaven Harbour, Oysterhaven Bay, Kinsale, Co. Cork",1300, Co. Cork,2 
"127. Great William O' Brien Street, Cork City, Co. Cork",1092, Co. Cork,3 
"128. 18A Wellington Road, Cork City, Co. Cork",1100, Co. Cork,
"129. Johnny Desmond's Cottage, Cooldaniel, Toames, Macroom, Co. Cork",950, Co. Cork,3 
"130. 17 Glengarriff Road, Bantry, Co. Cork",900, Co. Cork,4 
"131. Cliona Lodge, Toe Head, Castletownshend, Co. Cork",1250, Co. Cork,4 
"132. Drishanemore (available Sept - May), Skibbereen, Co. Cork",900, Co. Cork,4 
"133. 1 Clerk Lane, Skibbereen, Co. Cork",500, Co. Cork,
"134. 6 Chapel Lane, Skibbereen, Co. Cork",650, Co. Cork,3
"135. Cooscroneen, Union Hall, Co. Cork",950, Co. Cork,3 
"136. Gurteenakilla, Ballydehob, Co. Cork",850, Co. Cork,3 
"137. kilbrack, Doneraile, Co. Cork",750, Co. Cork,3
"138. Ahakista, Durrus, Co. Cork",900, Co. Cork,3 
"139. \'Elgo Cottage\', Middle Road, Crosshaven, Co. Cork",695, Co. Cork,1
"140. The Terrace, Freemount, Co. Cork",650, Co. Cork,3
"141. Cromogue, Milford, Co. Cork",650, Co. Cork,3 
"142. 20 Allow Hill, Freemount, Charleville, Co. Cork",700, Co. Cork,3 
"143. The Terrace, Freemount, Co. Cork",650, Co. Cork,3
"144. \'Ardmore\', Lower Aghada, Midleton, Co. Cork",1000, Co. Cork,3
"145. Inchigeela, Macroom, Co. Cork",900, Co. Cork,3
"146. Carriganarra estate, Ballincollig, Co. Cork",1450, Co. Cork,3
"147. Rockstreet, Cloyne, Co. Cork",480, Co. Cork,8 
"148. Cois An Uisce, Forthill, Summercove, Kinsale, Co. Cork",3000, Co. Cork,4 
"149. Na FuinSeoga, Springlane, Ballyvolane Rd, Ballyvolane, Co. Cork",480, Co. Cork,5 
"150. 3 Friars Court, Kinsale, Co. Cork",1300, Co. Cork,3 
"151. Mallow town, Mallow, Co. Cork",1050, Co. Cork,3 
"152. West of Ballinspittle, Ballinspittle, Co. Cork",2000, Co. Cork,4 
"153. Dunbar Street, Cork City, Co. Cork",1500, Co. Cork,2 
"154. Robert street, Mitchelstown, Co. Cork",800, Co. Cork,2
"155. 4, Caislean an Easaig, Castletownroche, Co. Cork",950, Co. Cork,3 
"156. main street rossmore, Clonakilty, Co. Cork",800, Co. Cork,5 
"157. 5 The Cresent Codrum, Macroom, Co. Cork",1100, Co. Cork,4 
"158. Cappagh, Kinsale, Co. Cork",1200, Co. Cork,
"159. Lynnville, Off Church Lane, Kinsale, Co. Cork",1000, Co. Cork,
"160. 8 Ringcurren Grove, Ardbrack, Kinsale, Co. Cork",1500, Co. Cork,3 
"161. Castlejane Woods Glanmire, Glanmire, Co. Cork",1375, Co. Cork,3
"162. Knockroe Lower, Kilnamartyra, Macroom, Co. Cork",700, Co. Cork,2
"163. 8 Castle Street, Macroom, Co. Cork",1100, Co. Cork,5
"164. Lackaroe, Buttevant, Co. Cork",850, Co. Cork,2
"165. Knockaverry, Youghal, Co. Cork",1500, Co. Cork,3 
"166. Carrigcleena, Bweeng, Co. Cork",1000, Co. Cork,3
"167. 101 HighStreet, Ballinlough, Co. Cork",1500, Co. Cork,2
"168. Cahermellaboe, Allihies, Beara, Co. Cork",500, Co. Cork,3 
"169. Rossacon, Newmarket, Co. Cork",1700, Co. Cork,4 
"170. connorville tower street, Cork City, Co. Cork",1500, Co. Cork,2
"171. 24 Greenfields, Belfry Heights, Bandon, Co. Cork",1250, Co. Cork,3 
"172. 25 Marwood Avenue, Glanmire, Co. Cork",1408, Co. Cork,3 
"173. Cooleregan, Mitchelstown, Co. Cork",500, Co. Cork,
"174. Kilmeen, Rossmore, Clonakilty, Co. Cork, Clonakilty, Co. Cork",900, Co. Cork,3
"175. 5 The Island, Inchydoney, Clonakilty, Co. Cork",1395, Co. Cork,4 
