House,Price,County
"1. French Hall,Prospect Wood, Longford Town, Co. Longford",650, Co. Longford
"2. Drumlish Road. Longford Town, Longford Town, Co. Longford",600, Co. Longford
"3. Cartron Brac, Longford Town, Co. Longford",550, Co. Longford
"4. Main Street, Granard, Co. Longford",400, Co. Longford
"5. Rath Bheg, Abbeylara, Co. Longford",550, Co. Longford
"6. French Hall, Prospect woods, Longford., Longford Town, Co. Longford",650, Co. Longford
"7. 7 The Granary, Ballymahon, Co. Longford",650, Co. Longford
"8. Hollybrook, Abbeyshrule, Co. Longford",300, Co. Longford
"9. Main Street, Granard, Co. Longford",400, Co. Longford
"10. ocklands longford, Longford Town, Co. Longford",1000, Co. Longford
"11. Cornmill House, Great Water Street, Longford Town, Co. Longford",450, Co. Longford
"12. Moy Court, Ballymahon, Co. Longford",650, Co. Longford
"13. 3b Kilashee Street, Longford Town, Co. Longford",580, Co. Longford
"1. Main Street, Greenore, Carlingford, Co. Louth",725, Co. Louth
"2. Main Street, Greenore, Carlingford, Co. Louth",725, Co. Louth
"3. 9 Calendar House, Bachelors Lane, Drogheda, Co. Louth",850, Co. Louth
"4. John Street, Drogheda, Co. Louth",1300, Co. Louth
"5. 40 bryanstown manor, Drogheda, Co. Louth",1250, Co. Louth
"6. Ath Lethan, Racecourse Road, Dundalk, Co. Louth",1200, Co. Louth
"7. 3 The Malthouse, Drogheda, Dromiskin, Co. Louth",1100, Co. Louth
"8. Mourne View Hall, Dundalk, Co. Louth",360, Co. Louth
"9. Main Street, Blackrock, Co. Louth",1500, Co. Louth
"10. 3 The Coach House, Main street, Castlebellingham, Co. Louth",1000, Co. Louth
"11. 27north strand, Drogheda, Co. Louth",900, Co. Louth
"12. Smarmore Ardee, Ardee, Co. Louth",750, Co. Louth
"13. Kermon House, The Mall, Drogheda, Co. Louth",1000, Co. Louth
"14. Bryanstown, Drogheda, Co. Louth",1250, Co. Louth
"15. Apartment, Adelphi Boulevard, Park Avenue, Dundalk, Co. Louth",1250, Co. Louth
"16. Hoey's Lane, Dundalk, Co. Louth",1000, Co. Louth
